play_count,score,link,domain,name
100000000,8.8,https://v.qq.com/x/cover/ehsqab3h25npybc.html,qq,雪豹
3070000,7.9,https://v.qq.com/x/cover/4i8nawunh1bij83.html,qq,迷情姐妹
43380000,9.3,https://v.qq.com/x/cover/3m2ih96dykj2rm3.html,qq,孙子兵法与三十六计
2000000,7.8,https://v.qq.com/x/cover/njylr2zc6uqi463.html,qq,亿万 第1季
99550000,8.3,https://v.qq.com/x/cover/tynysr14mgoke88.html,qq,信者无敌
1520000,7.3,https://v.qq.com/x/cover/kl22sxv579oy5n3.html,qq,了凡
4950000,7.1,https://v.qq.com/x/cover/ouyhm5g6kqosken.html,qq,太平天国
38900000,7.9,https://v.qq.com/x/cover/2oa8c60etv37k13.html,qq,千里雷声万里闪
900000,8.1,https://v.qq.com/x/cover/grepyr6fq6hi1tt.html,qq,七战七捷
63940000,5.1,https://v.qq.com/x/cover/48xz3d0tkm9kew2.html,qq,向着胜利前进
100000000,9.6,https://v.qq.com/x/cover/qn4ablksldmsyw7.html,qq,士兵突击
