domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTIwNjI4Ng==.html,14588119,毛泽东三兄弟,8.0
sohu,http://tv.sohu.com/item/MTE5NzQ0OQ==.html,118713764,功夫婆媳,7.0
sohu,http://tv.sohu.com/item/MTIwNTY0MQ==.html,34205120,活法,7.0
sohu,http://tv.sohu.com/item/MTIwODIxNg==.html,38922883,骡子和金子,7.0
sohu,http://tv.sohu.com/item/MTE5OTA2Ng==.html,182199369,新萧十一郎,8.0
sohu,http://tv.sohu.com/item/MTIwNTUyMQ==.html,81425295,殊死七日,6.0
sohu,http://tv.sohu.com/item/MTIwNjc2OQ==.html,59224216,多少爱，可以重来,8.0
sohu,http://tv.sohu.com/item/MTIwNTE3OQ==.html,57279544,麻辣芳邻,7.0
sohu,http://tv.sohu.com/item/MTIwODQ1Ng==.html,28924098,国家底线,9.0
sohu,http://tv.sohu.com/item/MTIwNDg2Mg==.html,73637579,天伦,6.0
sohu,http://tv.sohu.com/item/MTE5Nzk1NA==.html,51151713,生命中的好日子,6.0
sohu,http://tv.sohu.com/item/MTIwNjM1NA==.html,102402482,东方战场（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwNTAxNg==.html,166603445,两个女人的战争,6.0
sohu,http://tv.sohu.com/item/MTIwNTgyMQ==.html,74564504,爆笑先森,7.0
sohu,http://tv.sohu.com/item/MTIwNDMyNw==.html,155770539,示铃录,6.0
sohu,http://tv.sohu.com/item/MTIwODE3OA==.html,25139458,红色护卫,7.0
sohu,http://tv.sohu.com/item/MTEwMTU2Mw==.html,77965875,红色通道,7.0
sohu,http://tv.sohu.com/item/MTIwNjk3NQ==.html,86602087,大侠日天,6.0
sohu,http://tv.sohu.com/item/MTIwNTcwMg==.html,63870138,金水桥边,8.0
sohu,http://tv.sohu.com/item/MTIwMzMwOQ==.html,97778025,我和她的传奇情仇,6.0
sohu,http://tv.sohu.com/item/MTIwNjk1NQ==.html,58189156,酸甜苦辣小夫妻,7.0
sohu,http://tv.sohu.com/item/MTIwODUzMQ==.html,81749683,我是你的眼,7.0
sohu,http://tv.sohu.com/item/MTIwNjYwOQ==.html,44811014,追击者,8.0
sohu,http://tv.sohu.com/item/MTE5ODAzNg==.html,239803827,家和万事兴（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwMjgzNA==.html,71164473,地下地上之大陆小岛,7.0
sohu,http://tv.sohu.com/item/MTE5ODU5Mw==.html,193171093,酷爸俏妈,8.0
sohu,http://tv.sohu.com/item/MTEwMTk2MQ==.html,57038630,劫中劫,8.0
sohu,http://tv.sohu.com/item/MTEwMzY3NQ==.html,74608444,海上孟府,9.0
sohu,http://tv.sohu.com/item/MTE5OTQxNA==.html,65159774,婚姻时差,7.0
sohu,http://tv.sohu.com/item/MTIwMzI4NA==.html,819908,省港大营救,10.0
sohu,http://tv.sohu.com/item/MTE3NDE2OQ==.html,244110034,陆小凤与花满楼,8.0
sohu,http://tv.sohu.com/item/MTE5MjE0MA==.html,220662737,天使的城,8.0
sohu,http://tv.sohu.com/item/MTIwMDA4Mw==.html,66436489,男神执事团,8.0
sohu,http://tv.sohu.com/item/MTE5MjAxOA==.html,543363919,活色生香（卫视版）,9.0
sohu,http://tv.sohu.com/item/MTE5OTk4NA==.html,208708945,最佳前男友,9.0
sohu,http://tv.sohu.com/item/MTE5OTEzMg==.html,1036060,冲出月亮岛,2.0
sohu,http://tv.sohu.com/item/MTE5ODU1Mw==.html,135508096,无敌铁桥三,7.0
sohu,http://tv.sohu.com/item/MTIwMzQwNg==.html,1177526,恋上黑天使,0.0
sohu,http://tv.sohu.com/item/MTIwMDAwNQ==.html,1020659,东北抗日联军,0.0
sohu,http://tv.sohu.com/item/MTIwNDA2NA==.html,53909179,继父回家,7.0
sohu,http://tv.sohu.com/item/MTE5NzY2NA==.html,423491983,冰与火的青春（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwMzU4NA==.html,7278261,搜狐视频电视剧每周点评,7.0
sohu,http://tv.sohu.com/item/MTIwMzQ0Mw==.html,39516774,破阵,6.0
sohu,http://tv.sohu.com/item/MTIwMjY3NA==.html,189973663,明若晓溪（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTE5ODA3NA==.html,184926004,我的二哥二嫂,8.0
sohu,http://tv.sohu.com/item/MTIwMzEzMQ==.html,199562773,妈妈像花儿一样,8.0
sohu,http://tv.sohu.com/item/MTE5OTg1Ng==.html,276392655,神犬小七（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTE5ODAzNA==.html,182750413,敢爱,8.0
sohu,http://tv.sohu.com/item/MTE5MjE2OA==.html,342673250,抓住彩虹的男人（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTE5ODMwNQ==.html,263704279,铁在烧,7.0
sohu,http://tv.sohu.com/item/MTE5ODAzMg==.html,829609624,虎妈猫爸,9.0
sohu,http://tv.sohu.com/item/MTIwNDA3MQ==.html,72202991,戴流苏耳环的少女,5.0
sohu,http://tv.sohu.com/item/MTIwODU0NQ==.html,46488052,下辈子还做我老爸,8.0
