best2_score,best3_name,job,best1_name,best4_name,best4_score,best1_score,best3_score,best2_name,id,best5_name,best5_score,name
8.6,乔治·詹特利探...,actor,百战天龙 第一季,急诊室的故事(英...,8.2,8.7,8.5,费丽丝蒂 第一季,1010641,乔治·詹特利探...,8.2,莎朗·摩翰
8.5,灵异之城 第二季,actor,马尔科姆的一家 ...,迷离档案 第一季,7.8,8.9,7.9,灵异之城 第五季,1010648,妈妈十六岁,7.7,科林·费格森
8.8,甘地传,actor,古罗马：一个帝...,热·情,8.5,8.8,8.6,小不列颠大美利坚,1010653,小鬼历险记,8.4,杰拉丁妮·詹姆斯
9.2,犯罪现场调查 第...,actor,犯罪现场调查 第...,X档案 第一季,8.9,9.3,9.2,周六夜现场 第一季,1010661,火线警告 第三季,8.4,尼古拉斯·李
9.0,家庭战争 第一季,actor,糊涂侦探 第一季,太空仙女恋 第一季,8.6,9.4,8.6,加里森敢死队,1010674,我为卿狂 第一季,8.5,Jamie Farr
9.3,侠探西蒙,actor,时空冒险,神秘博士 第一季,8.8,9.5,8.9,迷离时空(原版) ...,1010682,未来青年,8.8,吉恩·马修
9.1,加罗律师  第二季,actor,心慌慌剧场,加罗律师 第一季,8.9,9.1,9.0,说书人,1010692,唐顿庄园：2014...,8.9,艾伦·阿姆斯特朗
8.9,家有阿福 第一季,actor,周六夜现场 第一季,芝麻街 第一季,8.3,9.2,8.6,X档案 第一季,1010694,唐纳1988,8.0,大卫·艾兰·格里尔
9.4,幕后危机 第四季,actor,猴尘 第一季,大侦探波洛 第十...,9.3,9.4,9.4,幕后危机 第三季,1010702,幻术大师 第一季,9.2,丽贝卡·弗朗特
8.4,日以作夜,actor,猫鼠游戏,世纪的哭泣,8.2,8.7,8.4,幕后枭雄,1010708,马丁·盖尔归来,7.9,纳塔莉·贝伊
9.0,绝命毒师 第一季,actor,绝命毒师  第五季,霍金传,8.6,9.6,8.8,歌厅,1010715,广告狂人 第一季,8.6,亚当·戈德利
9.2,歪星撞地球 第一季,actor,Slings and Arro...,体育之夜 第一季,8.8,9.5,9.0,周六夜现场 第一季,1010735,男追女 第二季,8.7,马克·麦金尼
8.8,福斯特和他虚构...,actor,马尔科姆的一家 ...,神探阿蒙 第一季,8.6,8.9,8.7,法外情真 第一季,1010744,新成长的烦恼 第...,8.3,西恩·马奎特
8.5,妓女与鲸鱼,actor,荒蛮故事,有爱就有痛，反...,7.8,8.7,7.9,烈焰焚币,1010747,无限都市,7.7,莱昂纳多·斯巴拉格利亚
8.7,鹰之路,actor,最佳搭档雷克斯,恋上你的血,7.1,9.3,7.6,施佩尔和希特勒,1010755,凯撒大帝,6.7,托比亚斯·莫雷蒂
8.0,极道鲜师2 同窗会SP,actor,霓裳梦想家,史上最恶劣的约会,7.7,8.2,7.9,大姐头,1010762,极道鲜师2,7.7,赤西仁
8.9,生命故事：家庭危机,actor,法律与秩序 第一季,我为喜剧狂  第三季,8.7,9.3,8.8,死亡诗社,1010765,同住一屋,8.2,约翰·库宁汉姆
8.9,笃姬,actor,News Zero,萤之光,8.5,9.3,8.8,相棒 第4季,1010770,派遣员的品格,8.3,板谷由夏
8.5,潜行狙击,actor,刑事侦缉档案4,绝代商骄,8.3,8.5,8.4,皆大欢喜古装版,1010833,江苏卫视2016跨...,8.1,谢天华
7.9,铁甲无敌奖门人,actor,火速救兵II,有房出租,7.8,8.1,7.8,有房出租2,1010910,奇幻潮,7.7,官恩娜
7.9,第四张画,actor,吐司男之吻,蒲公英,7.3,8.2,7.6,候鸟e人,1010940,向左走．向右走,6.9,关颖
8.5,秒速5厘米,actor,东京地震8.0,某人的目光,8.2,8.5,8.4,风人物语,1011007,夏天的大人们,7.9,花村怜美
8.2,咖啡王子1号店,actor,孤单又灿烂的神...,男与女,7.8,8.4,8.0,釜山行,1011009,饼干老师星星糖,7.4,孔侑
8.9,瘟神系列：蝼蛄,actor,红鳉鱼,求婚大作战,8.7,9.0,8.8,小豆豆电视台,1011107,紧急救命2,8.6,滨田岳
8.2,聊斋,actor,千秋家国梦,欢乐喜剧人 第一季,8.1,8.7,8.1,嫁衣,1011112,欢乐喜剧人 第二季,8.0,瞿颖
9.0,家族的形式,actor,深夜食堂,橙色岁月,8.6,9.2,8.8,温柔时刻,1011150,借着雨点说爱你,8.5,田中圭
9.1,密会,actor,超人回来了,妻子的资格,8.7,9.2,8.7,信号,1011152,重击,8.6,张铉诚
8.8,恋爱奇迹,actor,相棒 第4季,时效警察,8.4,8.9,8.8,青年以荒野为目标,1011155,冰之华,8.0,叶月里绪奈
9.6,银魂,actor,银魂 第二季,玩偶游戏,9.0,9.7,9.6,银魂 第二季 延长篇,1011166,反叛的鲁路修,8.9,南央美
7.3,钢琴师,actor,伊甸之东,金子轻松出来吧,7.2,7.8,7.2,传说的魔女,1011192,爱也好恨也好,7.1,韩智慧
7.9,穷爸爸富爸爸,actor,逆光飞翔,与男友的前女友密谈,7.4,8.2,7.7,我在1949，等你,1011213,到不了的地方,6.8,尹馨
8.4,僵尸道长,actor,君临天下之血溅...,97变色龙,7.9,8.5,8.1,飘零燕,1011268,铁甲无敌奖门人,7.8,文颂娴
8.4,荷尔蒙,actor,寻找特别的你,丘比特的眼泪,8.0,8.6,8.3,荷尔蒙2,1011279,下一站，说爱你,7.9,安苏玛琳·瑟拉帕萨默莎
8.7,华丽一族,actor,交响情人梦之欧...,橙色岁月,8.6,8.9,8.7,交响情人梦 最终...,1011288,交响情人梦 最终...,8.5,山田优
7.1,黄金交叉,actor,浪漫满屋,明朗少女成功记,6.5,7.9,6.6,两个坏小子,1011303,寄生灵,5.9,韩恩贞
8.8,烈阳街头,actor,胜者即是正义,世界奇妙物语 06...,8.2,9.3,8.6,笃姬,1011304,偷偷爱着你,8.0,原田夏希
8.9,横道世之介,actor,跳跃大搜查线,金色梦乡,8.5,9.0,8.7,相棒 第4季,1011362,彼得的葬礼,8.4,涩川清彦
8.1,志在四方,actor,当我们同在一起,X元素,7.8,8.2,7.9,小娘惹,1011379,破天网,7.6,欧萱
8.3,异域,actor,阿郎的故事,滚滚红尘,8.2,8.5,8.3,搭错车,1011384,运转手之恋,8.1,罗大佑
8.3,血色残阳,actor,楚留香新传,常回家看看,7.9,8.6,8.3,过把瘾,1011398,铁梨花,7.8,史可
6.6,欢乐教堂,actor,冰之恋,,,7.2,6.4,皇太子的初恋,1011446,,,李詹妮
8.1,彩虹女神,actor,新·奥特Q,无敌青春,7.6,8.3,7.7,爱的曝光,1011453,地狱为何恶劣,7.5,尾上宽之
8.5,彼得的葬礼,actor,笃姬,新闻女郎,8.4,8.8,8.4,独眼龙政宗,1011473,致亲爱的你,8.2,长塚京三
8.6,世界奇妙物语 05...,actor,冰点2001,人生,8.1,8.7,8.3,大奥第一章,1011474,轰轰战队冒险者,7.8,末永遥
9.1,我爱我家,actor,霸王别姬,西安虎家,8.8,9.5,9.0,围城,1011479,地下交通站,8.8,英达
7.9,迈向光明方向：...,actor,MissionV6,打工疯神榜,7.6,9.5,7.8,东京国税局,1011506,银狼怪奇事件簿,7.5,三宅健
8.4,四十九日·祭,actor,青春正点,拯救少年犯,8.0,8.4,8.1,与青春有关的日子,1011513,蜗居,7.9,文章
8.4,叶落长安,actor,琅琊榜,天下人家,8.2,9.2,8.2,爸爸去哪儿 第三季,1011562,外来媳妇本地郎,7.9,刘涛
8.2,流星,actor,孤独的美食家 第...,日本派,7.9,9.0,8.0,掟上今日子的备忘录,1011627,天魔大师来也,7.6,上野夏妃
8.7,波波羊,actor,与光同行,继续,8.6,8.8,8.7,战国鬼才传,1011644,新选组,8.5,大仓孝二
8.7,古畑任三郎  消...,actor,绅士刑警1,啊！野麦岭,8.2,9.1,8.5,怪怪怪的妻子,1011725,细雪,8.2,古手川祐子
7.9,三岛由纪夫传,actor,豪快者 护星者 ...,极道之妻：情炎,6.8,8.1,7.4,鬼龙院花子的一生,1011759,秘密战队五连者,,诚直也
8.6,整人大赏2015,actor,蜡笔小新之呼风...,我们的交换日记,7.5,8.7,7.6,木更津猫眼 日本篇,1011858,再见，Color,7.5,内村光良
8.2,黑洞,actor,乔家大院,月牙儿与阳光,7.9,8.2,8.2,前世今生,1011935,万岁！高三·二,7.9,马伊琍
8.3,廉政英雌之火枪柔情,actor,生死讼,江湖再見,8.1,8.5,8.2,陀枪师姐,1011953,同事三分亲,8.0,关咏荷
9.5,北国之恋：1998时代,actor,北国之恋：1992自立,北国之恋：1987初恋,9.5,9.5,9.5,北国之恋：2002遗言,1011970,北国之恋：1989归乡,9.5,布施博
7.8,上海探戈,actor,康熙来了,新孽海花传奇,7.4,9.2,7.6,倚天屠龙记,1012023,天若有情,7.4,陈孝萱
7.9,绊2,actor,永远的孩子,怪谈新耳袋 第4季,6.2,8.8,6.5,日本派,1012068,富江3：重生,5.5,邑野未亚
6.9,王的男人,actor,我们结婚吧,不能就这么死,6.7,7.2,6.9,妻子回来了,1012137,杀手泰寿,5.7,姜成妍
8.7,Show! 音乐中心,actor,男生女生向前走 ...,温州两家人,7.9,8.9,7.9,英雄豪杰,1012140,比天高比地厚,7.3,洪秀儿
8.8,大校的女儿,actor,我亲爱的祖国,黑洞,8.2,9.1,8.3,法门寺猜想,1012196,上海王,8.1,袁立
8.5,新选组,actor,SMAPxSMAP,青之时代,8.4,9.3,8.5,哪啊哪啊神去村,1012314,神奇宝贝 皮卡皮...,8.3,优香
7.7,我选择了不结婚,actor,别让我走,宇宙兄弟,7.2,8.0,7.6,逗比铁三角,1012408,东京漂物语,7.2,井上芳雄
7.6,唐明皇,actor,鲁豫有约大咖一日行,燕子李三,7.2,8.0,7.3,我们的田野,1012411,情定少林寺,7.2,林芳兵
9.0,相棒 第7季,actor,世纪末之诗,医龙,8.8,9.2,8.9,跳跃大搜查线,1012463,白线流~19岁之春~,8.7,袴田吉彦
8.1,超市特工  第四季,actor,超市特工  第三季,超人前传  第五季,7.8,8.2,8.1,超人前传 第十季,1012479,超人前传 第四季,7.7,克斯汀·克鲁克
9.1,胜利之光 第一季,actor,胜利之光 第三季,胜利之光 第二季,8.9,9.2,9.0,胜利之光 第四季,1012480,法律与秩序：特...,8.6,扎克·吉尔福德
8.8,黑色乌托邦,actor,另一天，另一时...,城市广场,8.1,9.0,8.4,法律与秩序：犯...,1012481,致命核料,8.0,奥斯卡·伊萨克
9.0,魔咒,actor,神秘博士  第四季,梅林传奇之魔法秘境,8.9,9.6,9.0,凯特秀,1012483,真实的人类 第二季,8.5,科林·摩根
8.5,国王的演讲,actor,傲慢与偏见,少年印第安纳琼...,8.0,9.2,8.3,阳光情人,1012506,王尔德,7.7,詹妮弗·艾莉
8.8,黑道家族 第一季,actor,混乱之子 第六季,混乱之子 第一季,8.4,8.9,8.7,绝望主妇 第六季,1012513,乔伊 第二季,7.6,德瑞·德·玛泰
9.3,白宫风云  第三季,actor,老友记  第九季,欲望都市 第六季,9.1,9.7,9.3,法律与秩序 第一季,1012514,24小时  第四季,8.9,伊万·汉德勒
8.8,真爱如血  第四季,actor,天空之城,真爱如血  第三季,8.3,9.0,8.6,伴你高飞,1012515,真爱如血  第五季,8.3,安娜·帕奎因
9.5,创造哈利·波特...,actor,创造哈利·波特...,当哈利离别霍格沃茨,9.3,9.6,9.5,哈利波特禁忌之旅,1012517,哈利·波特系列...,9.1,鲁伯特·格林特
