actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
庞瀚辰,2015.07.24,刘雨萱,我们要冒险,王书斌,杭州那么温暖影视策划有限公司,,全网发行,喜剧，游戏，冒险，闯关,废话，闫怀康,陈圆,12,,,闫怀康，刘学军,7,0
,,,变身情人,,,,,言情,,,11,,,,,0
,2015-11-19,,一屋高才生,,,,优酷,喜剧,,,84,,,汪小壹,,7.7
喜子,2015.02.18,梦阳,想笑就笑,黄建,星火影业,,腾讯，爱奇艺，优酷，土豆，pps网络视频，酷六，搜狐视频,搞笑系列剧,贾凯 喜子,刘世福,3,,,贾凯,10,0
周梦娅,2016年10月31日,吴笑月,就这么狐闹,李崇建,上海逗趣文化传媒有限公司,,爱奇艺,剧情/搞笑/古装,何员外 / 牙擦悠 / 刘诤,顾人麒,9,,,何员外 / 韩非洲,20,0
舒砚,,张艺馨,剩斗士的店,江奇霖,博采传媒,,,都市,总编剧：朱卫,高昊,5,,,董力,20,0
郭时旸,2016年,安孝燮,陌生访客,权度均,Starhaus Entertainment,,爱奇艺,浪漫,,宋元锡,2,,,申根浩,12集,0
,,,疗伤客栈 第二季,,,,,,,,1,,,,,0
,,,一千零一夜,,,,,,,,3370,,,,,9.3
,,,就这样吧,,,,,,,,,,,,,
,,,都市怪谈,,,,,,,,,,,,,
安娜·法瑞丝,,,先生你哪位,,,,,喜剧,,克里斯·埃文斯,,,,马克·米罗 Mark Mylod,,
张亚奇,2016年5月14日,柯韵婕,看我怎么收拾你,李应七,瀚海映像（北京）文化传媒有限公司,,爱奇艺、腾讯、搜狐,爱情 青春 喜剧,王月,韩妤儿,,,,陈柏诚,9,
马诺（非诚勿扰宝马女）,第一季 2015-04-15 第二季 2015-09-15,余浩瑞 ,妖精别走,傅颖,肥猫兄弟工作室,,腾讯视频 凤凰视频 优酷土豆 搜狐视频 爱奇艺 56 Bilibili Acfun[3],二次元 搞笑 喜剧 吐槽 网络剧 迷你剧,有时右逝 李圣杰,李颖（当红网络主播毒药）,,,,任凭,20,
,,,花飞尽，归不归,,,,,,,,,,,,,
,,,原始疯狂人,,,,,,,,0,,,,,0
"金裕贞[2] 
",2015年9月14日,,恋爱细胞2,赵宝儿,,,Naver TV cast,网络剧,,"任瑟雍[3] 
",,,,,12,
,,,脑洞大开,,,,,,,,18,,,,,0
,,,钱规则第二季,,,,,,,,,,,,,
严宇馨,2015年,陈柔轩,女神的战争 第三季,叶静涵,,,腾讯视频,喜剧,黄武,谷悦宁,,,,老鹰,20集,
杨烁,2015年6月23日,严艺丹,隐秘动机,禹童,阿里巴巴集团数字娱乐事业群原创出品事业部,,优酷,科幻,张纯筝,张檬,72,,,闫宇彤,13集,7.2
,,,别学我 第二季,,,,,,,,,,,,,
,,,爱笑不笑 第三季,,,,,,,,,,,,,
天悦,2016年9月29日,史元庭,爆笑满屋,杨彤,,,爱奇艺独播,喜剧,王哲,荣梓希,0,,,李小军,24集,0
李之浩,2016年10月,何佳依,奇葩兄妹,张心怡,上海便雅悯文化传播有限公司,,爱奇艺,校园 情景喜剧,潘昊 陈梦华 顾虓,吕太良,12,,,潘昊 陈梦华,15集,0
柳明明,,,麻辣律师团,,,,爱奇艺,律政,崔莉,裘斯,0,,,梅景洪,100,0
,,,hello！女主播,,,,,,,,,,,,,
