link,score,name,play_count,domain
http://www.le.com/tv/96310.html,8.5,我爱男闺蜜,430093009,le
http://www.le.com/tv/10004371.html,7.2,爷们儿,129602530,le
http://www.le.com/tv/83062.html,7.6,江南四大才子,54464144,le
http://www.le.com/tv/10018928.html,9.0,爱的阶梯,11558878,le
http://www.le.com/tv/10023484.html,9.4,东方战场,4792942,le
http://www.le.com/tv/10033241.html,8.0,丛林笔记,509311657,le
http://www.le.com/tv/10025029.html,8.4,闺蜜嫁到,143278237,le
http://www.le.com/tv/10029521.html,9.0,这电影有毒,64217,le
http://www.le.com/tv/10029523.html,9.0,中二少年的吐槽大会,189886,le
http://www.le.com/tv/10033083.html,8.2,警花与警犬,12861152,le
http://www.le.com/tv/10022359.html,7.8,天天有喜2之人间有爱,6363875,le
http://www.le.com/tv/10032500.html,8.2,木兰妈妈,74664915,le
http://www.le.com/tv/10031959.html,8.0,长征大会师,46194573,le
http://www.le.com/tv/10009976.html,7.5,无名者,49190624,le
http://www.le.com/tv/10004143.html,8.6,恋爱真美,239419381,le
http://www.le.com/tv/10032045.html,7.6,深爱食堂第二季,3147760,le
http://www.le.com/tv/10031087.html,8.4,姐妹姐妹,157018003,le
http://www.le.com/tv/10025901.html,8.3,嘿，孩子,374209256,le
http://www.le.com/tv/10031884.html,8.7,网剧《28岁未成年》,134626133,le
http://www.le.com/tv/10022345.html,9.4,因为爱情有幸福,6744701,le
http://www.le.com/tv/10026396.html,9.0,女怕嫁错郎,30048717,le
http://www.le.com/tv/10031360.html,8.4,刺青,63597062,le
http://www.le.com/tv/10031347.html,8.0,我是你的眼,81126318,le
http://www.le.com/tv/10030665.html,8.2,下辈子还做我老爸,21785104,le
http://www.le.com/tv/10030288.html,8.7,整垮前女友,62259933,le
http://www.le.com/tv/10004357.html,7.6,信者无敌,152466912,le
http://www.le.com/tv/10025375.html,,撩剧呗之幻城,7869979,le
http://www.le.com/tv/10030965.html,8.0,伏击,134019771,le
http://www.le.com/tv/10029524.html,9.0,搞什么鬼,66111,le
http://www.le.com/tv/10030471.html,,绝命后卫师,20857227,le
http://www.le.com/tv/10022365.html,8.5,五鼠闹东京,1822022,le
http://www.le.com/tv/10029835.html,9.0,一起长大,114934988,le
http://www.le.com/tv/10031618.html,9.8,波达克第二季,6615511,le
http://www.le.com/tv/80195.html,8.5,曹操,77097376,le
http://www.le.com/tv/10011914.html,9.0,明若晓溪,139621706,le
http://www.le.com/tv/10017090.html,8.0,继父回家,142087853,le
http://www.le.com/tv/10014690.html,8.0,妈妈像花儿一样,47161105,le
http://www.le.com/tv/10011581.html,8.0,太那个了吧,192952473,le
http://www.le.com/tv/10017595.html,,激战未删减版,4787204,le
http://www.le.com/tv/10019299.html,,龙门村的故事,8781140,le
http://www.le.com/tv/10016979.html,9.5,得州崛起,13818623,le
http://www.le.com/tv/10014466.html,8.2,新济公活佛下部,60285599,le
http://www.le.com/tv/10015423.html,6.0,还珠格格2015,1086453,le
http://www.le.com/tv/10013650.html,8.2,青春集结号,73566656,le
http://www.le.com/tv/10017084.html,8.0,家国纪事,1108369,le
http://www.le.com/tv/10016717.html,7.0,后台很火,262787,le
http://www.le.com/tv/10016351.html,8.8,9号秘事 第二季,752629,le
http://www.le.com/tv/10013511.html,8.0,妈妈像花儿一样TV版,529101415,le
http://www.le.com/tv/10009668.html,8.8,抓住彩虹的男人,197249777,le
http://www.le.com/tv/10010054.html,9.5,偏偏喜欢你未删减版,20247054,le
http://www.le.com/tv/10010345.html,8.0,马上天下,67510230,le
http://www.le.com/tv/10011931.html,8.9,克拉恋人未删减版,9165769,le
http://www.le.com/tv/10002310.html,9.9,琅琊榜,1312188782,le
http://www.le.com/tv/10017231.html,9.0,爸爸是条龙,8137528,le
http://www.le.com/tv/10010776.html,9.0,大汉情缘之云中歌未删减版,16185240,le
http://www.le.com/tv/10016239.html,8.6,私房钱,8186143,le
http://www.le.com/tv/10013476.html,9.0,卧底未删减版,7142531,le
http://www.le.com/tv/10017219.html,,我的铁血金戈梦,26233886,le
http://www.le.com/tv/10016730.html,8.8,战地狮吼,13803265,le
http://www.le.com/tv/10014716.html,,千万别基动,140560095,le
http://www.le.com/tv/10013651.html,8.0,青春集结号未删减版,8737812,le
